Instalment no.,Monthly payment,Principal,Interest,Balance
Instalment 1,1103.39,843.15,260.24,33854.85
Instalment 2,1103.39,849.48,253.91,33005.37
Instalment 3,1103.39,855.85,247.54,32149.53
Instalment 4,1103.39,862.27,241.12,31287.26
Instalment 5,1103.39,868.73,234.65,30418.53
Instalment 6,1103.39,875.25,228.14,29543.28
Instalment 7,1103.39,881.81,221.57,28661.47
Instalment 8,1103.39,888.43,214.96,27773.04
Instalment 9,1103.39,895.09,208.3,26877.95
Instalment 10,1103.39,901.8,201.58,25976.15
Instalment 11,1103.39,908.57,194.82,25067.58
Instalment 12,1103.39,915.38,188.01,24152.2
Instalment 13,1103.39,922.25,181.14,23229.96
Instalment 14,1103.39,929.16,174.22,22300.79
Instalment 15,1103.39,936.13,167.26,21364.66
Instalment 16,1103.39,943.15,160.23,20421.51
Instalment 17,1103.39,950.23,153.16,19471.28
Instalment 18,1103.39,957.35,146.03,18513.93
Instalment 19,1103.39,964.53,138.85,17549.4
Instalment 20,1103.39,971.77,131.62,16577.63
Instalment 21,1103.39,979.05,124.33,15598.58
Instalment 22,1103.39,986.4,116.99,14612.18
Instalment 23,1103.39,993.8,109.59,13618.38
Instalment 24,1103.39,1001.25,102.14,12617.14
Instalment 25,1103.39,1008.76,94.63,11608.38
Instalment 26,1103.39,1016.32,87.06,10592.05
Instalment 27,1103.39,1023.95,79.44,9568.11
Instalment 28,1103.39,1031.63,71.76,8536.48
Instalment 29,1103.39,1039.36,64.02,7497.12
Instalment 30,1103.39,1047.16,56.23,6449.96
Instalment 31,1103.39,1055.01,48.37,5394.94
Instalment 32,1103.39,1062.93,40.46,4332.02
Instalment 33,1103.39,1070.9,32.49,3261.12
Instalment 34,1103.39,1078.93,24.46,2182.19
Instalment 35,1103.39,1087.02,16.37,1095.17
Instalment 36,1103.39,1095.17,8.21,0.0
