Instalment no.,Monthly payment,Principal,Interest,Balance
Instalment 1,1151.46,943.13,208.33,49056.87
Instalment 2,1151.46,947.06,204.4,48109.81
Instalment 3,1151.46,951.01,200.46,47158.8
Instalment 4,1151.46,954.97,196.5,46203.83
Instalment 5,1151.46,958.95,192.52,45244.88
Instalment 6,1151.46,962.94,188.52,44281.94
Instalment 7,1151.46,966.96,184.51,43314.98
Instalment 8,1151.46,970.99,180.48,42344.0
Instalment 9,1151.46,975.03,176.43,41368.96
Instalment 10,1151.46,979.09,172.37,40389.87
Instalment 11,1151.46,983.17,168.29,39406.7
Instalment 12,1151.46,987.27,164.19,38419.43
Instalment 13,1151.46,991.38,160.08,37428.04
Instalment 14,1151.46,995.51,155.95,36432.53
Instalment 15,1151.46,999.66,151.8,35432.87
Instalment 16,1151.46,1003.83,147.64,34429.04
Instalment 17,1151.46,1008.01,143.45,33421.03
Instalment 18,1151.46,1012.21,139.25,32408.82
Instalment 19,1151.46,1016.43,135.04,31392.39
Instalment 20,1151.46,1020.66,130.8,30371.73
Instalment 21,1151.46,1024.92,126.55,29346.81
Instalment 22,1151.46,1029.19,122.28,28317.62
Instalment 23,1151.46,1033.47,117.99,27284.15
Instalment 24,1151.46,1037.78,113.68,26246.37
Instalment 25,1151.46,1042.1,109.36,25204.26
Instalment 26,1151.46,1046.45,105.02,24157.82
Instalment 27,1151.46,1050.81,100.66,23107.01
Instalment 28,1151.46,1055.19,96.28,22051.82
Instalment 29,1151.46,1059.58,91.88,20992.24
Instalment 30,1151.46,1064.0,87.47,19928.25
Instalment 31,1151.46,1068.43,83.03,18859.82
Instalment 32,1151.46,1072.88,78.58,17786.93
Instalment 33,1151.46,1077.35,74.11,16709.58
Instalment 34,1151.46,1081.84,69.62,15627.74
Instalment 35,1151.46,1086.35,65.12,14541.39
Instalment 36,1151.46,1090.88,60.59,13450.51
Instalment 37,1151.46,1095.42,56.04,12355.09
Instalment 38,1151.46,1099.99,51.48,11255.11
Instalment 39,1151.46,1104.57,46.9,10150.54
Instalment 40,1151.46,1109.17,42.29,9041.37
Instalment 41,1151.46,1113.79,37.67,7927.58
Instalment 42,1151.46,1118.43,33.03,6809.14
Instalment 43,1151.46,1123.09,28.37,5686.05
Instalment 44,1151.46,1127.77,23.69,4558.28
Instalment 45,1151.46,1132.47,18.99,3425.81
Instalment 46,1151.46,1137.19,14.27,2288.62
Instalment 47,1151.46,1141.93,9.54,1146.69
Instalment 48,1151.46,1146.69,4.78,-0.0
